Week;Piglet ;Finisher;Feed
2006 uge 1;337;8.3;1.13
2006 uge 2;325;8.1;1.13
2006 uge 3;317;8.3;1.13
2006 uge 4;325;8.5;1.13
2006 uge 5;333;8.5;1.13
2006 uge 6;333;8.5;1.13
2006 uge 7;333;8.5;1.13
2006 uge 8;333;8.5;1.13
2006 uge 9;333;8.5;1.13
2006 uge 10;333;8.7;1.13
2006 uge 11;341;8.9;1.13
2006 uge 12;349;8.9;1.13
2006 uge 13;348;9.1;1.13
2006 uge 14;357;9.1;1.13
2006 uge 15;357;9.1;1.13
2006 uge 16;357;9.1;1.13
2006 uge 17;358;9.1;1.13
2006 uge 18;358;9.1;1.13
2006 uge 19;358;9.3;1.13
2006 uge 20;367;9.3;1.13
2006 uge 21;367;9.3;1.13
2006 uge 22;367;9.5;1.13
2006 uge 23;375;9.5;1.13
2006 uge 24;375;9.7;1.13
2006 uge 25;383;9.9;1.13
2006 uge 26;391;9.9;1.13
2006 uge 27;391;9.7;1.13
2006 uge 28;383;9.7;1.13
2006 uge 29;383;9.7;1.13
2006 uge 30;383;9.9;1.13
2006 uge 31;391;9.9;1.13
2006 uge 32;391;9.9;1.13
2006 uge 33;391;9.9;1.13
2006 uge 34;391;10.1;1.13
2006 uge 35;399;10.1;1.13
2006 uge 36;398;10.1;1.13
2006 uge 37;402;9.9;1.12
2006 uge 38;394;9.7;1.12
2006 uge 39;385;9.7;1.12
2006 uge 40;385;9.7;1.12
2006 uge 41;385;9.5;1.12
2006 uge 42;377;9.3;1.12
2006 uge 43;369;9.3;1.12
2006 uge 44;369;9.1;1.12
2006 uge 45;360;9.1;1.12
2006 uge 46;360;9.1;1.12
2006 uge 47;360;9.3;1.12
2006 uge 48;369;9.1;1.12
2006 uge 49;360;8.9;1.12
2006 uge 50;352;8.7;1.12
2006 uge 51;344;8.4;1.12
2006 uge 52;332;8.4;1.12
2007 uge 1;332;8.4;1.12
2007 uge 2;332;8.4;1.12
2007 uge 3;332;8.4;1.12
2007 uge 4;331;8.4;1.12
2007 uge 5;331;8.4;1.12
2007 uge 6;331;8.4;1.12
2007 uge 7;331;8.4;1.12
2007 uge 8;331;8.4;1.12
2007 uge 9;331;8.4;1.12
2007 uge 10;331;8.4;1.12
2007 uge 11;331;8.2;1.12
2007 uge 12;323;8;1.12
2007 uge 13;315;8;1.12
2007 uge 14;315;8;1.12
2007 uge 15;315;8;1.12
2007 uge 16;315;8.2;1.12
2007 uge 17;323;8.2;1.12
2007 uge 18;323;8.4;1.12
2007 uge 19;332;8.4;1.12
2007 uge 20;333;8.2;1.12
2007 uge 21;326;8.2;1.12
2007 uge 22;326;8.2;1.12
2007 uge 23;326;8.4;1.12
2007 uge 24;334;8.7;1.12
2007 uge 25;334;8.7;1.12
2007 uge 26;335;8.7;1.12
2007 uge 27;335;8.7;1.12
2007 uge 28;335;8.9;1.12
2007 uge 29;343;8.9;1.12
2007 uge 30;342;8.9;1.12
2007 uge 31;341;8.9;1.12
2007 uge 32;341;8.9;1.12
2007 uge 33;341;8.9;1.12
2007 uge 34;341;8.9;1.12
2007 uge 35;341;9.1;1.12
2007 uge 36;308;9.1;1.76
2007 uge 37;308;9.1;1.76
2007 uge 38;308;9.1;1.76
2007 uge 39;308;8.9;1.76
2007 uge 40;292;8.9;1.89
2007 uge 41;292;8.7;1.89
2007 uge 42;283;8.5;1.89
2007 uge 43;275;8.5;1.89
2007 uge 44;276;8.5;1.89
2007 uge 45;280;8.5;1.83
2007 uge 46;280;8.5;1.83
2007 uge 47;280;8.5;1.83
2007 uge 48;280;8.5;1.83
2007 uge 49;280;8.3;1.83
2007 uge 50;273;8.1;1.83
2007 uge 51;265;8.1;1.83
2007 uge 52;265;8.1;1.83
2008 uge 1;256;8.1;1.83
2008 uge 2;264;8.1;1.83
2008 uge 3;264;8.1;1.83
2008 uge 4;264;8.1;1.83
2008 uge 5;264;8.1;1.83
2008 uge 6;257;8.1;1.96
2008 uge 7;256;8.3;1.96
2008 uge 8;264;8.5;1.96
2008 uge 9;272;8.7;1.96
2008 uge 10;280;8.9;1.96
2008 uge 11;288;8.9;1.96
2008 uge 12;288;8.9;1.96
2008 uge 13;288;9.1;1.96
2008 uge 14;295;9.3;1.96
2008 uge 15;303;9.3;1.96
2008 uge 16;304;9.1;1.96
2008 uge 17;295;9.3;1.96
2008 uge 18;303;9.3;1.96
2008 uge 19;303;9.5;1.96
2008 uge 20;311;9.7;1.96
2008 uge 21;319;9.7;1.96
2008 uge 22;319;9.9;1.96
2008 uge 23;333;10.1;1.89
2008 uge 24;342;10.1;1.89
2008 uge 25;342;10.1;1.89
2008 uge 26;342;10.1;1.89
2008 uge 27;344;10.1;1.89
2008 uge 28;344;10.1;1.89
2008 uge 29;344;10.3;1.89
2008 uge 30;351;10.3;1.89
2008 uge 31;351;10.5;1.89
2008 uge 32;358;10.5;1.89
2008 uge 33;358;10.7;1.89
2008 uge 34;366;10.7;1.89
2008 uge 35;366;10.7;1.89
2008 uge 36;378;10.9;1.74
2008 uge 37;386;10.9;1.74
2008 uge 38;386;10.7;1.74
2008 uge 39;378;10.5;1.74
2008 uge 40;370;10.5;1.74
2008 uge 41;370;10.3;1.74
2008 uge 42;362;10.3;1.74
2008 uge 43;362;10.1;1.74
2008 uge 44;354;9.8;1.74
2008 uge 45;342;9.6;1.74
2008 uge 46;335;9.4;1.74
2008 uge 47;327;9.4;1.74
2008 uge 48;327;9.4;1.74
2008 uge 49;327;9.2;1.74
2008 uge 50;318;9.2;1.74
2008 uge 51;312;9;1.74
2008 uge 52;303;9;1.74
2009 uge 1;303;9;1.74
2009 uge 2;295;8.8;1.74
2009 uge 3;295;8.8;1.74
2009 uge 4;287;8.6;1.74
2009 uge 5;278;8.4;1.74
2009 uge 6;306;8.4;1.32
2009 uge 7;297;8.2;1.32
2009 uge 8;297;8.2;1.32
2009 uge 9;293;8.2;1.36
2009 uge 10;294;8.2;1.36
2009 uge 11;293;8.2;1.36
2009 uge 12;292;8.2;1.36
2009 uge 13;301;8.4;1.36
2009 uge 14;309;8.6;1.36
2009 uge 15;322;8.8;1.32
2009 uge 16;330;9;1.32
2009 uge 17;330;9;1.32
2009 uge 18;338;9.2;1.32
2009 uge 19;339;9.2;1.3
2009 uge 20;339;9.2;1.3
2009 uge 21;339;9.2;1.3
2009 uge 22;348;9.4;1.3
2009 uge 23;356;9.6;1.3
2009 uge 24;357;9.6;1.3
2009 uge 25;357;9.6;1.3
2009 uge 26;363;9.8;1.3
2009 uge 27;363;9.8;1.3
2009 uge 28;372;10;1.3
2009 uge 29;359;9.8;1.36
2009 uge 30;359;9.8;1.36
2009 uge 31;359;9.8;1.36
2009 uge 32;350;9.6;1.36
2009 uge 33;350;9.6;1.36
2009 uge 34;352;9.6;1.32
2009 uge 35;352;9.6;1.32
2009 uge 36;352;9.6;1.32
2009 uge 37;352;9.6;1.32
2009 uge 38;361;9.6;1.21
2009 uge 39;352;9.4;1.21
2009 uge 40;344;9.2;1.21
2009 uge 41;336;9;1.21
2009 uge 42;329;8.8;1.19
2009 uge 43;321;8.6;1.19
2009 uge 44;319;8.6;1.19
2009 uge 45;310;8.4;1.2
2009 uge 46;319;8.6;1.2
2009 uge 47;319;8.6;1.2
2009 uge 48;323;8.6;1.2
2009 uge 49;323;8.6;1.2
2009 uge 50;322;8.6;1.21
2009 uge 51;311;8.4;1.23
2009 uge 52;295;8;1.23
2010 uge 1;295;8;1.23
2010 uge 2;295;8;1.23
2010 uge 3;295;8;1.23
2010 uge 4;295;8;1.23
2010 uge 5;303;8.2;1.23
2010 uge 6;311;8.4;1.23
2010 uge 7;319;8.6;1.24
2010 uge 8;319;8.6;1.24
2010 uge 9;319;8.6;1.24
2010 uge 10;319;8.6;1.24
2010 uge 11;319;8.6;1.24
2010 uge 12;319;8.6;1.24
2010 uge 13;327;8.8;1.25
2010 uge 14;327;8.8;1.25
2010 uge 15;327;8.8;1.25
2010 uge 16;327;8.8;1.25
2010 uge 17;335;9;1.25
2010 uge 18;343;9.2;1.26
2010 uge 19;357;9.5;1.26
2010 uge 20;366;9.7;1.26
2010 uge 21;374;9.9;1.26
2010 uge 22;387;10.2;1.26
2010 uge 23;385;10.2;1.28
2010 uge 24;394;10.4;1.28
2010 uge 25;394;10.4;1.28
2010 uge 26;396;10.4;1.32
2010 uge 27;388;10.2;1.32
2010 uge 28;379;10;1.32
2010 uge 29;369;9.8;1.34
2010 uge 30;369;9.8;1.34
2010 uge 31;378;10;1.34
2010 uge 32;378;10;1.34
2010 uge 33;360;9.8;1.44
2010 uge 34;360;9.8;1.44
2010 uge 35;360;9.8;1.44
2010 uge 36;334;9.6;1.65
2010 uge 37;334;9.6;1.65
2010 uge 38;325;9.4;1.65
2010 uge 39;317;9.2;1.65
2010 uge 40;317;9.2;1.65
2010 uge 41;318;9.2;1.65
2010 uge 42;318;9.2;1.65
2010 uge 43;318;9.2;1.65
2010 uge 44;318;9.2;1.65
2010 uge 45;318;9.2;1.65
2010 uge 46;318;9.2;1.65
2010 uge 47;318;9.2;1.65
2010 uge 48;318;9.2;1.65
2010 uge 49;318;9.2;1.65
2010 uge 50;328;9.2;1.65
2010 uge 51;329;9.2;1.65
2010 uge 52;329;9.2;1.65
2011 uge 1;322;9.2;1.78
2011 uge 2;314;9;1.78
2011 uge 3;314;9;1.78
2011 uge 4;306;8.8;1.78
2011 uge 5;314;9;1.78
2011 uge 6;322;9.3;1.86
2011 uge 7;335;9.6;1.86
2011 uge 8;335;9.6;1.86
2011 uge 9;335;9.6;1.86
2011 uge 10;335;9.6;1.86
2011 uge 11;343;9.8;1.86
2011 uge 12;352;10;1.86
2011 uge 13;351;10;1.86
2011 uge 14;360;10.15;1.82
2011 uge 15;359;10.15;1.82
2011 uge 16;353;10;1.82
2011 uge 17;353;10;1.82
2011 uge 18;366;10.3;1.82
2011 uge 19;366;10.3;1.82
2011 uge 20;366;10.3;1.82
2011 uge 21;367;10.3;1.82
2011 uge 22;358;10.1;1.82
2011 uge 23;356;10.1;1.86
2011 uge 24;365;10.3;1.86
2011 uge 25;361;10.3;1.89
2011 uge 26;361;10.3;1.89
2011 uge 27;361;10.3;1.89
2011 uge 28;361;10.3;1.88
2011 uge 29;361;10.3;1.88
2011 uge 30;361;10.3;1.88
2011 uge 31;361;10.3;1.88
2011 uge 32;354;10.1;1.86
2011 uge 33;354;10.1;1.86
2011 uge 34;354;10.1;1.86
2011 uge 35;354;10.1;1.86
2011 uge 36;362;10.1;1.71
2011 uge 37;362;10.1;1.71
2011 uge 38;362;10.1;1.71
2011 uge 39;362;10.1;1.71
2011 uge 40;371;10.3;1.71
2011 uge 41;371;10.3;1.7
2011 uge 42;371;10.3;1.7
2011 uge 43;379;10.5;1.7
2011 uge 44;379;10.5;1.7
2011 uge 45;392;10.8;1.7
2011 uge 46;391;10.8;1.7
2011 uge 47;391;10.8;1.7
2011 uge 48;398;11;1.7
2011 uge 49;398;11;1.7
2011 uge 50;398;11;1.7
2011 uge 51;385;10.6;1.66
2011 uge 52;377;10.4;1.66
2012 uge 1;377;10.4;1.66
2012 uge 2;365;10.1;1.64
2012 uge 3;357;9.9;1.64
2012 uge 4;357;9.9;1.64
2012 uge 5;357;9.9;1.64
2012 uge 6;363;10.1;1.67
2012 uge 7;371;10.3;1.67
2012 uge 8;371;10.3;1.67
2012 uge 9;370;10.3;1.67
2012 uge 10;362;10.3;1.79
2012 uge 11;362;10.3;1.79
2012 uge 12;362;10.3;1.79
2012 uge 13;371;10.5;1.79
2012 uge 14;376;10.7;1.83
2012 uge 15;376;10.7;1.83
2012 uge 16;376;10.7;1.83
2012 uge 17;376;10.7;1.83
2012 uge 18;385;10.9;1.83
2012 uge 19;385;10.9;1.83
2012 uge 20;380;10.9;1.89
2012 uge 21;380;10.9;1.89
2012 uge 22;389;11.1;1.89
2012 uge 23;397;11.3;1.89
2012 uge 24;396;11.3;1.92
2012 uge 25;396;11.3;1.92
2012 uge 26;398;11.3;1.92
2012 uge 27;399;11.3;1.92
2012 uge 28;398;11.3;1.92
2012 uge 29;398;11.3;1.92
2012 uge 30;398;11.3;1.92
2012 uge 31;407;11.5;1.92
2012 uge 32;396;11.5;2.06
2012 uge 33;404;11.7;2.06
2012 uge 34;404;11.7;2.06
2012 uge 35;417;12;2.06
2012 uge 36;419;12.2;2.15
2012 uge 37;419;12.2;2.15
2012 uge 38;427;12.4;2.15
2012 uge 39;427;12.4;2.15
2012 uge 40;433;12.6;2.17
2012 uge 41;433;12.6;2.17
2012 uge 42;433;12.6;2.17
2012 uge 43;433;12.6;2.17
2012 uge 44;424;12.4;2.17
2012 uge 45;410;12.1;2.19
2012 uge 46;410;12.1;2.19
2012 uge 47;410;12.1;2.19
2012 uge 48;419;12.4;2.19
2012 uge 49;420;12.4;2.19
2012 uge 50;413;12.2;2.2
2012 uge 51;406;12;2.2
2012 uge 52;389;11.6;2.2
2013 uge 1;389;11.6;2.2
2013 uge 2;393;11.6;2.19
2013 uge 3;384;11.4;2.19
2013 uge 4;384;11.4;2.19
2013 uge 5;377;11.2;2.17
2013 uge 6;377;11.2;2.17
2013 uge 7;377;11.2;2.17
2013 uge 8;377;11.2;2.17
2013 uge 9;382;11.2;2.08
2013 uge 10;382;11.2;2.08
2013 uge 11;374;11;2.08
2013 uge 12;374;11;2.08
2013 uge 13;374;11;2.08
2013 uge 14;374;11;2.08
2013 uge 15;374;11;2.08
2013 uge 16;374;11;2.08
2013 uge 17;374;11;2.08
2013 uge 18;374;11;2.08
2013 uge 19;363;10.7;2.09
2013 uge 20;364;10.7;2.09
2013 uge 21;364;10.7;2.09
2013 uge 22;364;10.7;2.09
2013 uge 23;364;10.7;2.09
2013 uge 24;372;10.9;2.09
2013 uge 25;377;11.1;2.08
2013 uge 26;385;11.3;2.08
2013 uge 27;385;11.3;2.08
2013 uge 28;390;11.3;2.03
2013 uge 29;390;11.3;2.03
2013 uge 30;397;11.5;2.03
2013 uge 31;405;11.7;2.03
2013 uge 32;405;11.7;2.03
2013 uge 33;413;11.7;1.89
2013 uge 34;421;11.9;1.89
2013 uge 35;430;12.1;1.89
2013 uge 36;444;12.1;1.71
2013 uge 37;444;12.1;1.71
2013 uge 38;444;12.1;1.71
2013 uge 39;444;12.1;1.71
2013 uge 40;436;11.9;1.71
2013 uge 41;436;11.9;1.71
2013 uge 42;436;11.9;1.71
2013 uge 43;436;11.9;1.71
2013 uge 44;433;11.9;1.73
2013 uge 45;425;11.7;1.73
2013 uge 46;417;11.5;1.73
2013 uge 47;417;11.5;1.73
2013 uge 48;417;11.5;1.73
2013 uge 49;427;11.7;1.74
2013 uge 50;417;11.5;1.74
2013 uge 51;410;11.3;1.74
2013 uge 52;393;10.9;1.74
2014 uge 1;393;10.9;1.74
2014 uge 2;393;10.9;1.74
2014 uge 3;393;10.9;1.74
2014 uge 4;385;10.7;1.74
2014 uge 5;384;10.7;1.74
2014 uge 6;384;10.7;1.74
2014 uge 7;384;10.7;1.74
2014 uge 8;372;10.4;1.74
2014 uge 9;363;10.2;1.74
2014 uge 10;355;10;1.74
2014 uge 11;357;10;1.72
2014 uge 12;366;10.2;1.72
2014 uge 13;375;10.4;1.72
2014 uge 14;374;10.4;1.73
2014 uge 15;373;10.4;1.75
2014 uge 16;382;10.6;1.75
2014 uge 17;382;10.6;1.75
2014 uge 18;382;10.6;1.75
2014 uge 19;382;10.6;1.75
2014 uge 20;382;10.6;1.75
2014 uge 21;382;10.6;1.75
2014 uge 22;391;10.8;1.75
2014 uge 23;399;11;1.75
2014 uge 24;399;11;1.75
2014 uge 25;399;11;1.75
2014 uge 26;408;11.2;1.75
2014 uge 27;408;11.2;1.75
2014 uge 28;399;11;1.75
2014 uge 29;391;10.8;1.75
2014 uge 30;382;10.6;1.75
2014 uge 31;382;10.6;1.75
2014 uge 32;382;10.6;1.75
2014 uge 33;385;10.6;1.73
2014 uge 34;387;10.6;1.72
2014 uge 35;387;10.6;1.72
2014 uge 36;387;10.6;1.72
2014 uge 37;398;10.6;1.56
2014 uge 38;390;10.4;1.56
2014 uge 39;381;10.2;1.56
2014 uge 40;364;9.8;1.56
2014 uge 41;347;9.4;1.56
2014 uge 42;347;9.4;1.56
2014 uge 43;347;9.4;1.56
2014 uge 44;347;9.4;1.56
2014 uge 45;356;9.6;1.56
2014 uge 46;357;9.6;1.54
2014 uge 47;357;9.6;1.54
2014 uge 48;357;9.6;1.54
2014 uge 49;366;9.8;1.54
2014 uge 50;367;9.8;1.54
2014 uge 51;348;9.4;1.59
2014 uge 52;331;9;1.59
